abundante: abondant
acabar: finir/ mettre fin
advertir: avertir
alterado: altere
altura: hauteur
amplificar: amplifier
angustia: angoisse
anteojos: lunettes/ paire de lunettes
apto: compatible
armonia: harmonie
avaro: avare
barato: peu couteux
batalla: bataille
bobo: stupide
boleto: billet
bonito: beau
cabello: cheveu
calido: chaleureux
calmar: calmer
camino: chemin
cantina: cantine
castigar: chatier
cola: queue
colaborar: collaborer
combate: combat
comodo: confortable
comprar: acheter
comprender: comprendre
constitucion: constitution
crear: creer
cumbre: sommet
danza: danse
decir: dire
defecto: defaut
demente: fou
destruir: detruire/ aneantir
dicha: bonheur
ebrio: ivre
educar: eduquer
elegir: choisir
elevar: elever
embrujar: ensorcele
enfurecer: rendre furieux
entero: entier
escrito: ecrit
escuchar: ecouter
estudiante: etudiant
expresar: exprimer
facil: facile
famoso: celebre
fiel: fidele
flecha: fleche
formacion: formation
fotografia: photo
fragmento: fragment
garaje: garage
generoso: genereux
gigante: geant
gordo: gros/ jackpot
humildad: humilite
humo: fumee
identico: identique
idioma: langue
importe: montant
increible: incroyable
indispensable: indispensable
insolencia: insolence
insulto: insulte
junta: conseil
labor: travail
lanzar: lancer
lucha: lutte
maestro: maitre
matar: tuer
miedo: peur
misericordia: misericorde
momento: moment
nombrar: nommer
norma: norme
orar: prier
detener: arreter
hoja: feuille
escuchar: ecouter
jamas: jamais
parar: arreter
partir: partir
paz: paix
profundo: profond
querer: vouloir
razon: raison
reposo: repos
sumar: additionner
tomar: prendre
veloz: rapide
vereda: trottoir
vivir: vivre
volver: revenir
bueno: bon
gato: chat
perro: chien
pan: pain
dibujo: dessin
mascota: mascotte
libro: livre
bandera: drapeau
flor: fleur
computadora: ordinateur
arbol: arbre
botella: bouteille
sofa: canape
vestido: robe/ habille/ vetements
anillo: anneau
camisa: chemise
lampara: lampe
mochila: sacs
noche: nuit
dia: jour
abrigo: manteau
bebida: boisson
botella: bouteille
vaso: verre
zapato: chaussure
cuadro: tableau
basura: dechets
plato: plat
pato: canard
gallina: poule
pajaro: oiseau
paloma: pigeon
cerdo: porc
cine: cinema
pescado: poisson
